"风险小类","产品大类","PRODUCT_CODE","样例交易ID","小类专属字段","参与判断字段","关键市场数据类型","说明"
"COMM","SHARKFIN","COMM_SHARKFIN","COMM_SHARK_20241231_001","PRICE_CURVE|UNDERLYING_CODE","OPTION_TYPE|DOWN/UPPER_BARRIER|SWITCH_DATE","COMM_SPOT+COMM_VOL+IR_SPOT","商品SharkFin常用UNDERLYING_CODE做标的识别；UP_DOWN/DOWN_UP模式需提供SWITCH_DATE。"
"EQ","SHARKFIN","EQ_SHARKFIN","EQ_SHARK_20241231_001","PRICE_CURVE|SETTLE_DISCOUNT_CURVE","OPTION_TYPE|DOWN/UPPER_BARRIER|SWITCH_DATE","EQ_SPOT+EQ_VOL+IR_SPOT","权益SharkFin按OptionType决定单/双障碍或两段切换分支。"
"FX","SHARKFIN","FX_SHARKFIN","FX_SHARK_8CAT_001","UNDERLYING_CODE(或UNDERLYING_CURRENCY_CODE+BASE_CURRENCY_CODE)|BASE_DISCOUNT_CURVE|UNDERLYING_DISCOUNT_CURVE","OPTION_TYPE|DOWN/UPPER_BARRIER|SWITCH_DATE","FX_SPOT+FX_VOL+IR_SPOT(多曲线)","OPTION_TYPE可用True/False/Up/Down/Call/Put/Double/UP_DOWN/DOWN_UP别名，其中两段模式使用T1远期近似。"
"IR","SHARKFIN","IR_SHARKFIN","IR_SHARK_20241231_001","PRICE_CURVE|FIXING_ID|RATE_TYPE|TERM_CODE|TERM_FREQ","OPTION_TYPE|FIXING_ID|Barrier|SWITCH_DATE","IR_SPOT+IR_VOL+FIXING","利率SharkFin需Fixing支持历史/窗口判断；两段模式需提供SWITCH_DATE。"
"COMM","SPREADOPT","COMM_SPREADOPT","COMM_SPREAD_001","PRICE_CURVE|DISCOUNT_CURVE|CURRENCY_CODE","OPTION_TYPE|DOWN_BARRIER|UPPER_BARRIER","COMM_SPOT+COMM_VOL+IR_SPOT","商品Spread的波动率曲面必须是COMM_VOL类型。"
"EQ","SPREADOPT","EQ_SPREADOPT","EQ_SPREAD_001","PRICE_CURVE|DISCOUNT_CURVE|CURRENCY_CODE","OPTION_TYPE|DOWN_BARRIER|UPPER_BARRIER","EQ_SPOT+EQ_VOL+IR_SPOT","权益Spread的波动率曲面必须是EQ_VOL类型。"
"FX","SPREADOPT","FX_SPREADOPT","FX_SPREAD_8CAT_001","UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|BASE_DISCOUNT_CURVE|UNDERLYING_DISCOUNT_CURVE","OPTION_TYPE|DOWN_BARRIER|UPPER_BARRIER","FX_SPOT+FX_VOL+IR_SPOT","外汇Spread由两腿欧式差价组合。"
"COMM","STEP_UP","COMM_STEP_UP","COMM_STEPUP_20241231_001","PRICE_CURVE|UNDERLYING_CODE|FRTB_COMM_BUCKET|FRTB_COMM_ASSET|FRTB_COMM_LOCATION","CALL_OR_PUT|FIXING_DATE|Barrier|ABS_FLAG","COMM_SPOT+COMM_VOL+IR_SPOT+FIXING","商品StepUp可附带FRTB商品风险映射字段。"
"EQ","STEP_UP","EQ_STEP_UP","INDEX_STEPUP_20241231_001","PRICE_CURVE|SETTLE_CURRENCY_CODE","CALL_OR_PUT|FIXING_DATE|Barrier|ABS_FLAG","EQ_SPOT+EQ_VOL+IR_SPOT+FIXING","EQ_STEP_UP归类为EQ小类，ABS_FLAG影响Greek扰动。"
"FX","STEP_UP","FX_STEP_UP","FX_STEPUP_8CAT_001","UNDERLYING_ID|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|UNDERLYING_DISCOUNT_CURVE|BASE_DISCOUNT_CURVE","CALL_OR_PUT|FIXING_DATE|Barrier|LOW/MID/HIGH_RATE","FX_SPOT+FX_VOL+IR_SPOT+FIXING","Fixing窗口内按Barrier比较选低/中档收益。"
"IR","STEP_UP","IR_STEP_UP","IR_STEPUP_20241231_001","PRICE_CURVE|TERM_DAYS|SETTLE_CURRENCY_CODE","CALL_OR_PUT|FIXING_DATE|TERM_DAYS|Barrier","IR_SPOT+IR_VOL+FIXING","IR_STEP_UP常通过TERM_DAYS构造远期利率。"
"COMM","WEDDING_CAKE","COMM_WEDDING_CAKE","COMM_WEDDING_20241231_001","PRICE_CURVE","FIXING_ID|OUTER/INNER四障碍","COMM_SPOT+COMM_VOL+IR_SPOT+FIXING","商品WeddingCake同样采用三档收益映射。"
"EQ","WEDDING_CAKE","EQ_WEDDING_CAKE","EQ_WEDDING_20241231_001","PRICE_CURVE","FIXING_ID|OUTER/INNER四障碍","EQ_SPOT+EQ_VOL+IR_SPOT+FIXING","权益WeddingCake固定依赖FIXING_ID与四层障碍顺序。"
"FX","WEDDING_CAKE","FX_WEDDING_CAKE","FX_WEDDING_8CAT_001","UNDERLYING_CODE|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|UNDERLYING_DISCOUNT_CURVE|BASE_DISCOUNT_CURVE","FIXING_ID|OUTER/INNER四障碍","FX_SPOT+FX_VOL+IR_SPOT+FIXING","到期或历史路径按Fixing落点决定三档收益。"
"IR","WEDDING_CAKE","IR_WEDDING_CAKE","IR_WEDDING_001","PRICE_CURVE|RATE_TYPE|TERM_CODE|TERM_FREQ","FIXING_ID|OUTER/INNER四障碍","IR_SPOT+IR_VOL+FIXING","利率WeddingCake需期限参数与Fixing序列共同参与。"
