"交易大类","PRODUCT_CODE","标的类型","样例交易ID","核心输入字段","关键市场数据","说明"
"DIGITAL","IR_DIGITAL","IR","IR_DIG_CALL_20241231_001","BUY_OR_SELL|TRADE_DATE|CALL_OR_PUT|CONTRACT_SIZE|STRIKE_PRICE|MATURITY_DATE|SETTLE_DATE|BASE_PAYOFF|PAYOFF_LOWER|VOLATILITY_SURFACE|CURRENCY_CODE|DISCOUNT_CURVE|PRICE_CURVE|FIXING_ID|RATE_TYPE|TERM_CODE|TERM_FREQ|INSTRUMENT_CURRENCY","VOLATILITY_SURFACE=IR_VOL_CNY|DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=IR_CURVE_CNY|FIXING_ID=IR_FIXING_CNY_3M|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"RANGE_ACCURE","COMM_RANGE_ACCURE","COMM","COMM_RA_20241231_001","BUY_OR_SELL|TRADE_DATE|START_DATE|MATURITY_DATE|SETTLE_DATE|OBS_DATE|NOTIONAL|CURRENCY_CODE|UPPER_BARRIER|LOWER_BARRIER|RANGE_ACCURE_RATE|RANGE_DIRECTION|DISCOUNT_CURVE|HISTORICAL_CURVE|VOLATILITY_SURFACE|PRICE_CURVE|EPS|ABS_FLAG|SETTLE_CURRENCY_CODE|INSTRUMENT_CURRENCY|UNDERLYING_CODE|FRTB_COMM_BUCKET|FRTB_COMM_ASSET|FRTB_COMM_LOCATION|FIXING_ID","DISCOUNT_CURVE=IR_CURVE_CNY|HISTORICAL_CURVE=IR_FIXING_CNY_3M|VOLATILITY_SURFACE=COMM_VOL_A99|PRICE_CURVE=COMM_SPOT_A99|FIXING_ID=IR_FIXING_CNY_3M|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"RANGE_ACCURE","EQ_RANGE_ACCURE","EQ","EQ_RA_20241231_001","BUY_OR_SELL|TRADE_DATE|START_DATE|MATURITY_DATE|SETTLE_DATE|OBS_DATE|NOTIONAL|CURRENCY_CODE|UPPER_BARRIER|LOWER_BARRIER|RANGE_ACCURE_RATE|RANGE_DIRECTION|DISCOUNT_CURVE|HISTORICAL_CURVE|VOLATILITY_SURFACE|PRICE_CURVE|EPS|ABS_FLAG|SETTLE_CURRENCY_CODE|INSTRUMENT_CURRENCY|FIXING_ID","DISCOUNT_CURVE=IR_CURVE_CNY|HISTORICAL_CURVE=IR_FIXING_CNY_3M|VOLATILITY_SURFACE=EQ_VOL_CN_A|PRICE_CURVE=EQ_SPOT_CN_A|FIXING_ID=IR_FIXING_CNY_3M|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"RANGE_ACCURE","FX_RANGE_ACCURE","FX","FX_RA_8CAT_001","BUY_OR_SELL|TRADE_DATE|START_DATE|MATURITY_DATE|SETTLE_DATE|OBS_DATE|NOTIONAL|CURRENCY_CODE|UPPER_BARRIER|LOWER_BARRIER|RANGE_ACCURE_RATE|RANGE_DIRECTION|DISCOUNT_CURVE|VOLATILITY_SURFACE|PRICE_CURVE|EPS|ABS_FLAG|SETTLE_CURRENCY_CODE|INSTRUMENT_CURRENCY|UNDERLYING_ID|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|UNDERLYING_DISCOUNT_CURVE|BASE_DISCOUNT_CURVE|FIXING_ID","DISCOUNT_CURVE=IR_CURVE_EUR|VOLATILITY_SURFACE=FX_VOL_EUR_USD|PRICE_CURVE=IR_CURVE_EUR|UNDERLYING_DISCOUNT_CURVE=IR_CURVE_EUR|BASE_DISCOUNT_CURVE=IR_CURVE_USD|FIXING_ID=IR_FIXING_CNY_3M|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_struct_dig_barrier_20260303.json 测试样例"
"RANGE_ACCURE","IR_RANGE_ACCURE","IR","IR_RA_20241231_001","BUY_OR_SELL|TRADE_DATE|START_DATE|MATURITY_DATE|SETTLE_DATE|OBS_DATE|NOTIONAL|CURRENCY_CODE|UPPER_BARRIER|LOWER_BARRIER|RANGE_ACCURE_RATE|RANGE_DIRECTION|DISCOUNT_CURVE|HISTORICAL_CURVE|VOLATILITY_SURFACE|PRICE_CURVE|EPS|ABS_FLAG|SETTLE_CURRENCY_CODE|INSTRUMENT_CURRENCY|RATE_TYPE|TERM_CODE|TERM_FREQ|FIXING_ID","DISCOUNT_CURVE=IR_CURVE_CNY|HISTORICAL_CURVE=IR_FIXING_CNY_3M|VOLATILITY_SURFACE=IR_VOL_CNY|PRICE_CURVE=IR_CURVE_CNY|FIXING_ID=IR_FIXING_CNY_3M|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"SHARKFIN","COMM_SHARKFIN","COMM","COMM_SHARK_20241231_001","INSTRUMENT_CURRENCY|BUY_OR_SELL|CONTRACT_SIZE|TRADE_DATE|OPTION_TYPE|TOUCH_RATE|BASE_RATE|NOTIONAL|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|START_DATE|SWITCH_DATE|MATURITY_DATE|SETTLE_DATE|SETTLE_TYPE|VOLATILITY_SURFACE|SETTLE_CURRENCY_CODE|DOWN_BARRIER|UPPER_BARRIER|STRIKE_PRICE|SETTLE_DISCOUNT_CURVE|CURRENCY_CODE|PRICE_CURVE|UNDERLYING_CODE","VOLATILITY_SURFACE=COMM_VOL_A99|SETTLE_DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=COMM_SPOT_A99|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例；UP_DOWN/DOWN_UP 模式需提供 SWITCH_DATE"
"SHARKFIN","EQ_SHARKFIN","EQ","EQ_SHARK_20241231_001","INSTRUMENT_CURRENCY|BUY_OR_SELL|CONTRACT_SIZE|TRADE_DATE|OPTION_TYPE|TOUCH_RATE|BASE_RATE|NOTIONAL|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|START_DATE|SWITCH_DATE|MATURITY_DATE|SETTLE_DATE|SETTLE_TYPE|VOLATILITY_SURFACE|SETTLE_CURRENCY_CODE|DOWN_BARRIER|UPPER_BARRIER|STRIKE_PRICE|SETTLE_DISCOUNT_CURVE|CURRENCY_CODE|PRICE_CURVE","VOLATILITY_SURFACE=EQ_VOL_CN_A|SETTLE_DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=EQ_SPOT_CN_A|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例；UP_DOWN/DOWN_UP 模式需提供 SWITCH_DATE"
"SHARKFIN","FX_SHARKFIN","FX","FX_SHARK_8CAT_001","INSTRUMENT_CURRENCY|BUY_OR_SELL|CONTRACT_SIZE|TRADE_DATE|OPTION_TYPE|UNDERLYING_CODE|TOUCH_RATE|BASE_RATE|NOTIONAL|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|START_DATE|SWITCH_DATE|MATURITY_DATE|SETTLE_DATE|SETTLE_TYPE|BASE_DISCOUNT_CURVE|UNDERLYING_DISCOUNT_CURVE|VOLATILITY_SURFACE|SETTLE_CURRENCY_CODE|DOWN_BARRIER|UPPER_BARRIER|STRIKE_PRICE|SETTLE_DISCOUNT_CURVE|CURRENCY_CODE","BASE_DISCOUNT_CURVE=IR_CURVE_USD|UNDERLYING_DISCOUNT_CURVE=IR_CURVE_EUR|VOLATILITY_SURFACE=FX_VOL_EUR_USD|SETTLE_DISCOUNT_CURVE=IR_CURVE_CNY|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_struct_dig_barrier_20260303.json 测试样例；UP_DOWN/DOWN_UP 模式需提供 SWITCH_DATE"
"SHARKFIN","IR_SHARKFIN","IR","IR_SHARK_20241231_001","INSTRUMENT_CURRENCY|BUY_OR_SELL|CONTRACT_SIZE|TRADE_DATE|OPTION_TYPE|TOUCH_RATE|BASE_RATE|NOTIONAL|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|START_DATE|SWITCH_DATE|MATURITY_DATE|SETTLE_DATE|SETTLE_TYPE|VOLATILITY_SURFACE|SETTLE_CURRENCY_CODE|DOWN_BARRIER|UPPER_BARRIER|STRIKE_PRICE|SETTLE_DISCOUNT_CURVE|CURRENCY_CODE|PRICE_CURVE|FIXING_ID|HISTORICAL_CURVE|RATE_TYPE|TERM_CODE|TERM_FREQ","VOLATILITY_SURFACE=IR_VOL_CNY|SETTLE_DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=IR_CURVE_CNY|FIXING_ID=IR_FIXING_CNY_3M|HISTORICAL_CURVE=IR_FIXING_CNY_3M|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例；UP_DOWN/DOWN_UP 模式需提供 SWITCH_DATE"
"SPREADOPT","COMM_SPREADOPT","COMM","COMM_SPREAD_001","TRADE_DATE|CALL_OR_PUT|BUY_OR_SELL|CONTRACT_SIZE|START_DATE|MATURITY_DATE|SETTLE_DATE|SETTLE_TYPE|DISCOUNT_CURVE|PRICE_CURVE|VOLATILITY_SURFACE|DOWN_BARRIER|UPPER_BARRIER|NOTIONAL|INITIAL_PRICE|CURRENCY_CODE|INSTRUMENT_CURRENCY|OPTION_TYPE","DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=COMM_SPOT_A99|VOLATILITY_SURFACE=COMM_VOL_A99|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"SPREADOPT","EQ_SPREADOPT","EQ","EQ_SPREAD_001","TRADE_DATE|CALL_OR_PUT|BUY_OR_SELL|CONTRACT_SIZE|START_DATE|MATURITY_DATE|SETTLE_DATE|SETTLE_TYPE|DISCOUNT_CURVE|PRICE_CURVE|VOLATILITY_SURFACE|DOWN_BARRIER|UPPER_BARRIER|NOTIONAL|INITIAL_PRICE|CURRENCY_CODE|INSTRUMENT_CURRENCY|OPTION_TYPE","DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=EQ_SPOT_CN_A|VOLATILITY_SURFACE=EQ_VOL_CN_A|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"SPREADOPT","FX_SPREADOPT","FX","FX_SPREAD_8CAT_001","TRADE_DATE|CALL_OR_PUT|BUY_OR_SELL|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|CONTRACT_SIZE|START_DATE|MATURITY_DATE|SETTLE_DATE|SETTLE_TYPE|BASE_DISCOUNT_CURVE|UNDERLYING_DISCOUNT_CURVE|VOLATILITY_SURFACE|DOWN_BARRIER|UPPER_BARRIER|NOTIONAL|INITIAL_PRICE|INSTRUMENT_CURRENCY|OPTION_TYPE","BASE_DISCOUNT_CURVE=IR_CURVE_USD|UNDERLYING_DISCOUNT_CURVE=IR_CURVE_EUR|VOLATILITY_SURFACE=FX_VOL_EUR_USD|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_struct_dig_barrier_20260303.json 测试样例"
"STEP_UP","COMM_STEP_UP","COMM","COMM_STEPUP_20241231_001","TRADE_DATE|CALL_OR_PUT|BUY_OR_SELL|START_DATE|MATURITY_DATE|SETTLE_DATE|FIXING_DATE|NOTIONAL|CURRENCY_CODE|INSTRUMENT_CURRENCY|UNDERLYING_ID|UNDERLYING_CODE|UNDERLYING_TYPE|UPPER_BARRIER|LOWER_BARRIER|LOW_RATE|MID_RATE|HIGH_RATE|DAY_COUNT_BASIS|DISCOUNT_CURVE|PRICE_CURVE|SETTLE_CURRENCY_CODE|VOLATILITY_SURFACE|FIXING_ID|FRTB_COMM_BUCKET|FRTB_COMM_ASSET|FRTB_COMM_LOCATION|EPS|ABS_FLAG","DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=COMM_SPOT_A99|VOLATILITY_SURFACE=COMM_VOL_A99|FIXING_ID=COMM_FIXING_A99|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"STEP_UP","EQ_STEP_UP","EQ","INDEX_STEPUP_20241231_001","TRADE_DATE|CALL_OR_PUT|BUY_OR_SELL|START_DATE|MATURITY_DATE|SETTLE_DATE|FIXING_DATE|NOTIONAL|CURRENCY_CODE|INSTRUMENT_CURRENCY|UNDERLYING_ID|UNDERLYING_TYPE|UPPER_BARRIER|LOWER_BARRIER|LOW_RATE|MID_RATE|HIGH_RATE|DAY_COUNT_BASIS|DISCOUNT_CURVE|PRICE_CURVE|SETTLE_CURRENCY_CODE|VOLATILITY_SURFACE|FIXING_ID|EPS|ABS_FLAG","DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=EQ_SPOT_CN_A|VOLATILITY_SURFACE=EQ_VOL_CN_A|FIXING_ID=EQ_FIXING_CSI300|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"STEP_UP","FX_STEP_UP","FX","FX_STEPUP_8CAT_001","TRADE_DATE|CALL_OR_PUT|BUY_OR_SELL|START_DATE|MATURITY_DATE|SETTLE_DATE|FIXING_DATE|NOTIONAL|CURRENCY_CODE|INSTRUMENT_CURRENCY|UNDERLYING_ID|UNDERLYING_TYPE|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|UPPER_BARRIER|LOWER_BARRIER|LOW_RATE|MID_RATE|HIGH_RATE|DAY_COUNT_BASIS|DISCOUNT_CURVE|UNDERLYING_DISCOUNT_CURVE|BASE_DISCOUNT_CURVE|VOLATILITY_SURFACE|FIXING_ID|EPS|ABS_FLAG|VV_FLAG","DISCOUNT_CURVE=IR_CURVE_USD|UNDERLYING_DISCOUNT_CURVE=IR_CURVE_EUR|BASE_DISCOUNT_CURVE=IR_CURVE_USD|VOLATILITY_SURFACE=FX_VOL_EUR_USD|FIXING_ID=IR_FIXING_CNY_3M|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_struct_dig_barrier_20260303.json 测试样例"
"STEP_UP","IR_STEP_UP","IR","IR_STEPUP_20241231_001","TRADE_DATE|CALL_OR_PUT|BUY_OR_SELL|START_DATE|MATURITY_DATE|SETTLE_DATE|FIXING_DATE|NOTIONAL|CURRENCY_CODE|INSTRUMENT_CURRENCY|UNDERLYING_ID|UNDERLYING_TYPE|UPPER_BARRIER|LOWER_BARRIER|LOW_RATE|MID_RATE|HIGH_RATE|DAY_COUNT_BASIS|DISCOUNT_CURVE|PRICE_CURVE|TERM_DAYS|SETTLE_CURRENCY_CODE|VOLATILITY_SURFACE|FIXING_ID|EPS|ABS_FLAG","DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=IR_CURVE_CNY|VOLATILITY_SURFACE=IR_VOL_CNY|FIXING_ID=IR_FIXING_CNY_3M|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"WEDDING_CAKE","COMM_WEDDING_CAKE","COMM","COMM_WEDDING_20241231_001","BUY_OR_SELL|CONTRACT_SIZE|NOTIONAL|START_DATE|MATURITY_DATE|SETTLE_DATE|VOLATILITY_SURFACE|SETTLE_CURRENCY_CODE|SETTLE_DISCOUNT_CURVE|PRICE_CURVE|FIXING_ID|HISTORICAL_CURVE|OUTER_LOWER_BARRIER|OUTER_UPPER_BARRIER|INNER_LOWER_BARRIER|INNER_UPPER_BARRIER|OUT_RATE|MID_RATE|INNER_RATE","VOLATILITY_SURFACE=COMM_VOL_A99|SETTLE_DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=COMM_SPOT_A99|FIXING_ID=COMM_FIXING_A99|HISTORICAL_CURVE=COMM_FIXING_A99|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"WEDDING_CAKE","EQ_WEDDING_CAKE","EQ","EQ_WEDDING_20241231_001","BUY_OR_SELL|CONTRACT_SIZE|NOTIONAL|START_DATE|MATURITY_DATE|SETTLE_DATE|VOLATILITY_SURFACE|SETTLE_CURRENCY_CODE|SETTLE_DISCOUNT_CURVE|PRICE_CURVE|FIXING_ID|HISTORICAL_CURVE|OUTER_LOWER_BARRIER|OUTER_UPPER_BARRIER|INNER_LOWER_BARRIER|INNER_UPPER_BARRIER|OUT_RATE|MID_RATE|INNER_RATE","VOLATILITY_SURFACE=EQ_VOL_CN_A|SETTLE_DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=EQ_SPOT_CN_A|FIXING_ID=EQ_FIXING_CSI300|HISTORICAL_CURVE=EQ_FIXING_CSI300|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"WEDDING_CAKE","FX_WEDDING_CAKE","FX","FX_WEDDING_8CAT_001","BUY_OR_SELL|CONTRACT_SIZE|UNDERLYING_CODE|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|NOTIONAL|START_DATE|MATURITY_DATE|SETTLE_DATE|VOLATILITY_SURFACE|SETTLE_CURRENCY_CODE|SETTLE_DISCOUNT_CURVE|UNDERLYING_DISCOUNT_CURVE|BASE_DISCOUNT_CURVE|FIXING_ID|HISTORICAL_CURVE|OUTER_LOWER_BARRIER|OUTER_UPPER_BARRIER|INNER_LOWER_BARRIER|INNER_UPPER_BARRIER|OUT_RATE|MID_RATE|INNER_RATE","VOLATILITY_SURFACE=FX_VOL_EUR_USD|SETTLE_DISCOUNT_CURVE=IR_CURVE_USD|UNDERLYING_DISCOUNT_CURVE=IR_CURVE_EUR|BASE_DISCOUNT_CURVE=IR_CURVE_USD|FIXING_ID=IR_FIXING_CNY_3M|HISTORICAL_CURVE=IR_FIXING_CNY_3M|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_struct_dig_barrier_20260303.json 测试样例"
"WEDDING_CAKE","IR_WEDDING_CAKE","IR","IR_WEDDING_001","BUY_OR_SELL|CONTRACT_SIZE|NOTIONAL|START_DATE|MATURITY_DATE|SETTLE_DATE|VOLATILITY_SURFACE|SETTLE_CURRENCY_CODE|SETTLE_DISCOUNT_CURVE|PRICE_CURVE|RATE_TYPE|TERM_CODE|TERM_FREQ|FIXING_ID|HISTORICAL_CURVE|OUTER_LOWER_BARRIER|OUTER_UPPER_BARRIER|INNER_LOWER_BARRIER|INNER_UPPER_BARRIER|OUT_RATE|MID_RATE|INNER_RATE","VOLATILITY_SURFACE=IR_VOL_CNY|SETTLE_DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=IR_CURVE_CNY|FIXING_ID=IR_FIXING_CNY_3M|HISTORICAL_CURVE=IR_FIXING_CNY_3M|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
